sim,method_2_lb,method_2_ub,method_3_lb,method_3_ub
310,-2.86817510735251,2.59940890220912,-2.57268299000337,2.59021584404232
311,-1.89081204432248,2.50232549926949,-2.57409778507654,2.55669121104529
312,-2.09275912427633,2.55566975681111,-2.59973076528196,2.62342654262598
313,-2.80790472901871,2.83294884585738,-2.55442675110189,2.54933946031931
314,-2.6727252447088,2.56334930983904,-2.62356167488111,2.58540827707111
315,-2.36863253887852,2.54559059851779,-2.58840106926409,2.5564498707445
316,-2.59848693704559,1.86856919907685,-2.59322169723572,2.58896225126642
317,-2.28863260481267,2.21527341289803,-2.56407710967105,2.54855272319904
318,-2.4183884921431,2.45463769247585,-2.57495733476224,2.58585520836873
319,-2.64639313502644,2.5512919256105,-2.61475266678637,2.57788964551798
320,-1.83175333183876,2.30432754942077,-2.55686543334402,2.57017719313835
321,-2.35120077927087,2.03461947713569,-2.56428200863272,2.54370954118476
322,-2.73510126358087,2.17039663722794,-2.60683774592183,2.61681853226932
323,-2.6706442357692,3.41981591626848,-2.64145012660734,2.59338637094903
324,-2.90783429098256,3.11945941716511,-2.55560628253598,2.58346914020824
325,-1.9243334933164,2.2403858912389,-2.62794948171229,2.55607171257169
326,-2.22583951312243,2.38085159117874,-2.57564679660743,2.5196966874848
327,-2.12541435780094,1.91957892611923,-2.57245171952776,2.53338469005038
328,-2.45413346635313,2.23257978691306,-2.60803226959257,2.5458160314477
329,-2.68880688262116,2.53701145082626,-2.58266220976731,2.51981290495314
330,-2.53368787849553,2.67876491150986,-2.61888024383949,2.59977853876694
331,-1.90240398651924,2.68970575612597,-2.54413826887918,2.59005720840183
332,-2.7043149522504,2.07239116145321,-2.57589703826698,2.56621223381716
333,-2.88387753626892,2.92591821322184,-2.50058368211139,2.57580418658052
334,-2.59278060327856,2.87693711147807,-2.61500400255772,2.50199989554808
335,-3.28653006335529,2.72441455430603,-2.58569437780365,2.56097333747336
336,-2.99228383305556,2.77628814304353,-2.5702963906178,2.55522062437286
337,-2.738057018486,2.73818915691936,-2.61568747730868,2.54969767546714
338,-2.74526268147613,2.43900230585245,-2.53483394645158,2.55678074711719
339,-2.54018314821189,2.08701827086927,-2.60341396267843,2.56099849316751
340,-2.41477770358176,2.49431046703334,-2.58507663494208,2.56349128859554
341,-2.13375924890071,2.79743279581373,-2.53395962505017,2.59972645371821
342,-2.64254228284012,2.60220923484326,-2.55981142213663,2.5344238802356
343,-2.97415722056854,2.6592630660711,-2.60812774593706,2.62990762949709
344,-3.21325814667011,3.13991955419583,-2.59079462744325,2.60186873736305
345,-2.88479466058112,2.5827806704452,-2.55250560202535,2.53864222281774
346,-2.20796125076532,2.13203952508033,-2.59997608450277,2.55933172895026
347,-2.44036378814496,2.22826987303642,-2.59018878611304,2.55304883052674
348,-2.73142371853938,2.59858930784597,-2.57634476165218,2.5854383594521
349,-2.28197394931869,2.34743935878774,-2.6165207756725,2.53033083973027
350,-2.68969239572754,2.26106030870009,-2.59907665204672,2.51849447353853
351,-2.69261959263208,2.27333557028938,-2.55280692278855,2.53118972005485
